otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu251306	Mantella crocea	165048	143427	-	None	True	original	Mantella_crocea	-	True
otu251305	Mantella milotympanum	494441	143520	-	None	True	original	Mantella_milotympanum	-	True
otu251313	Mantella cowanii	3618049	0	-	None	True	original	Mantella_cowanii	-	True
otu251312	Mantella baroni	709685	143518	-	None	True	original	Mantella_baroni	-	True
otu251311	Mantella haraldmeieri	709687	143519	-	None	True	original	Mantella_haraldmeieri	-	True
otu251310	Mantella nigricans	494436	143521	-	None	True	original	Mantella_nigricans	-	True
otu251315	Wakea madinika	1056218	168683	-	None	True	original	Wakea_madinika	-	True
otu251317	Blommersia sarotra	921854	160226	-	None	True	deleted from tree in reconciliation	Blommersia_sarotra	-	False
otu251316	Blommersia kely	745003	321715	-	None	True	original	Blommersia_kely	-	True
otu251318	Blommersia grandisonae	1028565	143588	-	None	True	original	Blommersia_grandisonae	-	True
otu251319	Blommersia domerguei	921837	160223	-	None	True	original	Blommersia_domerguei	-	True
otu251320	Blommersia blommersae	921841	160222	-	None	True	original	Blommersia_blommersae	-	True
otu251321	Blommersia wittei	921849	160227	-	None	True	original	Blommersia_wittei	-	True
otu251322	Guibemantis liber	921858	160225	-	None	True	original	Guibemantis_liber	-	True
otu251323	Guibemantis bicalcaratus	687980	143431	-	None	True	original	Guibemantis_bicalcaratus	-	True
otu251324	Guibemantis albolineatus	550424	252269	-	None	True	original	Guibemantis_albolineatus	-	True
otu251326	Guibemantis tornieri	796173	258859	-	None	True	deleted from tree in reconciliation	Guibemantis_tornieri	-	False
otu251325	Guibemantis depressiceps	735518	127648	-	None	True	original	Guibemantis_depressiceps	-	True
otu251296	Spinomantis peraccae	29301	252273	-	None	True	original	Spinomantis_peraccae	-	True
otu251297	Spinomantis elegans	41937	285098	-	None	True	original	Spinomantis_elegans	-	True
otu251298	Spinomantis aglavei	571161	134674	-	None	True	original	Spinomantis_aglavei	-	True
otu251294	Mantidactylus grandidieri	1054125	68442	-	None	True	original	Mantidactylus_grandidieri	-	True
otu251292	Mantidactylus lugubris	29298	252276	-	None	True	original	Mantidactylus_lugubris	-	True
otu251287	Mantidactylus ambreensis	812470	238134	-	None	True	original	Mantidactylus_ambreensis	-	True
otu251286	Mantidactylus mocquardi	687974	143437	-	None	True	deleted from tree in reconciliation	Mantidactylus_mocquardi	-	False
otu251285	Mantidactylus femoralis	735521	127649	-	None	True	original	Mantidactylus_femoralis	-	True
otu251288	Mantidactylus ulcerosus	1054406	129013	-	None	True	original	Mantidactylus_ulcerosus	-	True
otu251289	Mantidactylus opiparis	800218	127652	-	None	True	original	Mantidactylus_opiparis	-	True
otu251290	Mantidactylus charlotteae	29289	252278	-	None	True	original	Mantidactylus_charlotteae	-	True
otu251291	Mantidactylus biporus	687988	143432	-	None	True	original	Mantidactylus_biporus	-	True
otu251293	Mantidactylus argenteus	171150	258860	-	None	True	original	Mantidactylus_argenteus	-	True
otu251283	Gephyromantis azzurrae	3618050	424450	-	None	True	deleted from tree in reconciliation	Gephyromantis_azzurrae	-	False
otu251284	Gephyromantis corvus	687971	143434	-	None	True	deleted from tree in reconciliation	Gephyromantis_corvus	-	False
otu251282	Gephyromantis sculpturatus	29294	252275	-	None	True	original	Gephyromantis_sculpturatus	-	True
otu251266	Gephyromantis enki	272469	321742	-	None	True	deleted from tree in reconciliation	Gephyromantis_enki	-	False
otu251267	Gephyromantis blanci	272464	321740	-	None	True	deleted from tree in reconciliation	Gephyromantis_blanci	-	False
otu251265	Gephyromantis eiselti	155643	410586	-	None	True	deleted from tree in reconciliation	Gephyromantis_eiselti	-	False
otu251264	Gephyromantis leucocephalus	272456	321747	-	None	True	deleted from tree in reconciliation	Gephyromantis_leucocephalus	-	False
otu251263	Gephyromantis decaryi	272461	321741	-	None	True	deleted from tree in reconciliation	Gephyromantis_decaryi	-	False
otu251268	Gephyromantis asper	494432	143523	-	None	True	original	Gephyromantis_asper	-	True
otu251262	Gephyromantis webbi	846782	321750	-	None	True	deleted from tree in reconciliation	Gephyromantis_webbi	-	False
otu251260	Gephyromantis rivicola	12012	352387	-	None	True	deleted from tree in reconciliation	Gephyromantis_rivicola	-	False
otu251261	Gephyromantis silvanus	272474	321749	-	None	True	original	Gephyromantis_silvanus	-	True
otu251258	Gephyromantis klemmeri	796178	258857	-	None	True	deleted from tree in reconciliation	Gephyromantis_klemmeri	-	False
otu251254	Gephyromantis striatus	29291	252274	-	None	True	original	Gephyromantis_striatus	-	True
otu251255	Gephyromantis malagasius	157830	161778	-	None	True	original	Gephyromantis_malagasius	-	True
